origin,destination,distance,duration
Belleville,Rockford,471 km,4 hours 30 mins
Rockford,Punta Gorda,"2,176 km",19 hours 26 mins
Rockford,Punta Gorda,"2,176 km",19 hours 26 mins
Orlando,Fort Lauderdale,341 km,3 hours 6 mins
Orlando,Fort Lauderdale,341 km,3 hours 6 mins
Tucson,Los Angeles,778 km,7 hours 12 mins
Tucson,Los Angeles,778 km,7 hours 12 mins
Los Angeles,San Diego,193 km,1 hour 57 mins
Los Angeles,San Diego,193 km,1 hour 57 mins
San Diego,Tucson,653 km,5 hours 56 mins
San Diego,Tucson,653 km,5 hours 56 mins
Houston,State College,"2,423 km",22 hours 19 mins
Houston,State College,"2,423 km",22 hours 19 mins
State College,Johnstown,137 km,1 hour 29 mins
State College,Johnstown,137 km,1 hour 29 mins
Johnstown,Houston,"2,329 km",21 hours 20 mins
Johnstown,Houston,"2,329 km",21 hours 20 mins
Norfolk,Knoxville,850 km,7 hours 52 mins
Norfolk,Knoxville,850 km,7 hours 52 mins
Knoxville,Chattanooga,180 km,1 hour 41 mins
Knoxville,Chattanooga,180 km,1 hour 41 mins
Chattanooga,Norfolk,"1,025 km",9 hours 28 mins
Chattanooga,Norfolk,"1,025 km",9 hours 28 mins
Killeen,Dallas,249 km,2 hours 18 mins
Killeen,Dallas,249 km,2 hours 18 mins
Dallas,Houston,385 km,3 hours 29 mins
Dallas,Houston,385 km,3 hours 29 mins
Houston,Killeen,326 km,3 hours 9 mins
Houston,Killeen,326 km,3 hours 9 mins
Denver,Pittsburgh,"2,334 km",20 hours 57 mins
Denver,Pittsburgh,"2,334 km",20 hours 57 mins
Pittsburgh,Philadelphia,490 km,4 hours 46 mins
Pittsburgh,Philadelphia,490 km,4 hours 46 mins
State College,Moline,"1,154 km",10 hours 50 mins
State College,Moline,"1,154 km",10 hours 50 mins
Moline,Chicago,266 km,2 hours 43 mins
Moline,Chicago,266 km,2 hours 43 mins
Chicago,State College,913 km,8 hours 43 mins
Chicago,State College,913 km,8 hours 43 mins
Cedar Rapids,Abilene,"1,545 km",13 hours 48 mins
Cedar Rapids,Abilene,"1,545 km",13 hours 48 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Lubbock,Cedar Rapids,"1,632 km",14 hours 36 mins
Lubbock,Cedar Rapids,"1,632 km",14 hours 36 mins
Memphis,Charlotte,998 km,9 hours 27 mins
Memphis,Charlotte,998 km,9 hours 27 mins
Charlotte,Fayetteville,223 km,2 hours 40 mins
Charlotte,Fayetteville,223 km,2 hours 40 mins
Fayetteville,Wilmington,149 km,1 hour 44 mins
Fayetteville,Wilmington,149 km,1 hour 44 mins
Wilmington,Memphis,"1,303 km",11 hours 45 mins
Wilmington,Memphis,"1,303 km",11 hours 45 mins
New Orleans,Paducah,916 km,8 hours 53 mins
New Orleans,Paducah,916 km,8 hours 53 mins
Paducah,Owensboro,205 km,2 hours 10 mins
Paducah,Owensboro,205 km,2 hours 10 mins
Owensboro,Lexington,286 km,2 hours 47 mins
Owensboro,Lexington,286 km,2 hours 47 mins
Lexington,New Orleans,"1,201 km",10 hours 53 mins
Lexington,New Orleans,"1,201 km",10 hours 53 mins
San Luis Obispo,Dallas,"2,554 km",23 hours 19 mins
San Luis Obispo,Dallas,"2,554 km",23 hours 19 mins
Dallas,Waco,155 km,1 hour 28 mins
Dallas,Waco,155 km,1 hour 28 mins
Waco,El Paso,990 km,9 hours 14 mins
Waco,El Paso,990 km,9 hours 14 mins
El Paso,San Luis Obispo,"1,596 km",14 hours 44 mins
El Paso,San Luis Obispo,"1,596 km",14 hours 44 mins
Greer,New York,"1,147 km",10 hours 53 mins
Greer,New York,"1,147 km",10 hours 53 mins
New York,Binghamton,286 km,3 hours 6 mins
New York,Binghamton,286 km,3 hours 6 mins
Binghamton,Rochester,256 km,2 hours 26 mins
Binghamton,Rochester,256 km,2 hours 26 mins
Rochester,Greer,"1,302 km",12 hours 18 mins
Rochester,Greer,"1,302 km",12 hours 18 mins
Knoxville,Philadelphia,"1,007 km",9 hours 20 mins
Knoxville,Philadelphia,"1,007 km",9 hours 20 mins
Philadelphia,Lewisburg,261 km,2 hours 41 mins
Philadelphia,Lewisburg,261 km,2 hours 41 mins
Lewisburg,Johnstown,242 km,2 hours 26 mins
Lewisburg,Johnstown,242 km,2 hours 26 mins
Johnstown,Knoxville,846 km,8 hours 3 mins
Johnstown,Knoxville,846 km,8 hours 3 mins
Des Moines,Kansas City,311 km,2 hours 52 mins
Des Moines,Kansas City,311 km,2 hours 52 mins
Kansas City,Branson,337 km,3 hours 16 mins
Kansas City,Branson,337 km,3 hours 16 mins
Branson,St. Louis,405 km,3 hours 49 mins
Branson,St. Louis,405 km,3 hours 49 mins
St. Louis,Des Moines,563 km,5 hours 28 mins
St. Louis,Des Moines,563 km,5 hours 28 mins
South Bend,Punta Gorda,"1,975 km",17 hours 58 mins
South Bend,Punta Gorda,"1,975 km",17 hours 58 mins
Punta Gorda,Miami,292 km,2 hours 42 mins
Punta Gorda,Miami,292 km,2 hours 42 mins
Miami,Fort Myers,255 km,2 hours 24 mins
Miami,Fort Myers,255 km,2 hours 24 mins
Fort Myers,South Bend,"2,012 km",18 hours 21 mins
Fort Myers,South Bend,"2,012 km",18 hours 21 mins
Orlando,Dubuque,"2,085 km",18 hours 49 mins
Orlando,Dubuque,"2,085 km",18 hours 49 mins
Dubuque,Des Moines,317 km,3 hours 13 mins
Dubuque,Des Moines,317 km,3 hours 13 mins
Des Moines,Fort Dodge,154 km,1 hour 30 mins
Des Moines,Fort Dodge,154 km,1 hour 30 mins
Fort Dodge,Orlando,"2,294 km",20 hours 53 mins
Fort Dodge,Orlando,"2,294 km",20 hours 53 mins
South Bend,Asheville,979 km,9 hours 18 mins
South Bend,Asheville,979 km,9 hours 18 mins
Asheville,Fayetteville,423 km,4 hours 9 mins
Asheville,Fayetteville,423 km,4 hours 9 mins
Fayetteville,Charlotte,223 km,2 hours 40 mins
Fayetteville,Charlotte,223 km,2 hours 40 mins
Charlotte,South Bend,"1,101 km",10 hours 53 mins
Charlotte,South Bend,"1,101 km",10 hours 53 mins
Appleton,Belleville,731 km,6 hours 51 mins
Appleton,Belleville,731 km,6 hours 51 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Chicago,Rockford,143 km,1 hour 32 mins
Chicago,Rockford,143 km,1 hour 32 mins
Rockford,Appleton,274 km,2 hours 47 mins
Rockford,Appleton,274 km,2 hours 47 mins
Jacksonville,State College,"1,469 km",13 hours 23 mins
Jacksonville,State College,"1,469 km",13 hours 23 mins
State College,Johnstown,137 km,1 hour 29 mins
State College,Johnstown,137 km,1 hour 29 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Harrisburg,Jacksonville,"1,317 km",12 hours 4 mins
Harrisburg,Jacksonville,"1,317 km",12 hours 4 mins
Gunnison,Abilene,"1,163 km",11 hours 23 mins
Gunnison,Abilene,"1,163 km",11 hours 23 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Lubbock,Gunnison,899 km,9 hours 3 mins
Lubbock,Gunnison,899 km,9 hours 3 mins
Dallas,Harrisburg,"2,224 km",20 hours 12 mins
Dallas,Harrisburg,"2,224 km",20 hours 12 mins
Harrisburg,Pittsburgh,327 km,3 hours 16 mins
Harrisburg,Pittsburgh,327 km,3 hours 16 mins
Pittsburgh,Philadelphia,490 km,4 hours 46 mins
Pittsburgh,Philadelphia,490 km,4 hours 46 mins
Philadelphia,Dallas,"2,361 km",21 hours 36 mins
Philadelphia,Dallas,"2,361 km",21 hours 36 mins
Omaha,Pellston,"1,336 km",12 hours 30 mins
Omaha,Pellston,"1,336 km",12 hours 30 mins
Pellston,Kalamazoo,407 km,4 hours 4 mins
Pellston,Kalamazoo,407 km,4 hours 4 mins
Kalamazoo,Detroit,225 km,2 hours 10 mins
Kalamazoo,Detroit,225 km,2 hours 10 mins
Detroit,Omaha,"1,179 km",10 hours 49 mins
Detroit,Omaha,"1,179 km",10 hours 49 mins
Baltimore,Pellston,"1,271 km",11 hours 32 mins
Baltimore,Pellston,"1,271 km",11 hours 32 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Alpena,Baltimore,"1,220 km",11 hours 32 mins
Alpena,Baltimore,"1,220 km",11 hours 32 mins
Los Angeles,Monterey,512 km,5 hours 10 mins
Los Angeles,Monterey,512 km,5 hours 10 mins
Monterey,San Francisco,191 km,2 hours 0 mins
Monterey,San Francisco,191 km,2 hours 0 mins
Orlando,Moline,"1,966 km",17 hours 42 mins
Orlando,Moline,"1,966 km",17 hours 42 mins
Moline,Belleville,417 km,3 hours 59 mins
Moline,Belleville,417 km,3 hours 59 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Chicago,Orlando,"1,858 km",16 hours 56 mins
Chicago,Orlando,"1,858 km",16 hours 56 mins
Cincinnati,Minneapolis,"1,135 km",10 hours 26 mins
Cincinnati,Minneapolis,"1,135 km",10 hours 26 mins
Minneapolis,International Falls,476 km,4 hours 35 mins
Minneapolis,International Falls,476 km,4 hours 35 mins
International Falls,Hibbing,162 km,1 hour 45 mins
International Falls,Hibbing,162 km,1 hour 45 mins
Hibbing,Cincinnati,"1,351 km",12 hours 40 mins
Hibbing,Cincinnati,"1,351 km",12 hours 40 mins
San Antonio,Los Angeles,"2,176 km",19 hours 29 mins
San Antonio,Los Angeles,"2,176 km",19 hours 29 mins
Los Angeles,San Diego,193 km,1 hour 57 mins
Los Angeles,San Diego,193 km,1 hour 57 mins
San Diego,San Francisco,808 km,7 hours 51 mins
San Diego,San Francisco,808 km,7 hours 51 mins
Great Falls,Seattle,"1,030 km",9 hours 45 mins
Great Falls,Seattle,"1,030 km",9 hours 45 mins
Seattle,Wenatchee,238 km,2 hours 33 mins
Seattle,Wenatchee,238 km,2 hours 33 mins
Wenatchee,Yakima,172 km,1 hour 55 mins
Wenatchee,Yakima,172 km,1 hour 55 mins
Yakima,Great Falls,906 km,8 hours 36 mins
Yakima,Great Falls,906 km,8 hours 36 mins
Tallahassee,Amarillo,"1,928 km",17 hours 46 mins
Tallahassee,Amarillo,"1,928 km",17 hours 46 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Lubbock,Corpus Christi,853 km,7 hours 45 mins
Lubbock,Corpus Christi,853 km,7 hours 45 mins
Corpus Christi,Tallahassee,"1,480 km",13 hours 26 mins
Corpus Christi,Tallahassee,"1,480 km",13 hours 26 mins
Kansas City,Buffalo,"1,586 km",14 hours 29 mins
Kansas City,Buffalo,"1,586 km",14 hours 29 mins
Buffalo,New York,600 km,6 hours 14 mins
Buffalo,New York,600 km,6 hours 14 mins
New York,Plattsburgh,503 km,4 hours 55 mins
New York,Plattsburgh,503 km,4 hours 55 mins
Plattsburgh,Kansas City,"2,173 km",20 hours 21 mins
Plattsburgh,Kansas City,"2,173 km",20 hours 21 mins
Cincinnati,Bemidji,"1,479 km",13 hours 54 mins
Cincinnati,Bemidji,"1,479 km",13 hours 54 mins
Bemidji,Minneapolis,347 km,3 hours 34 mins
Bemidji,Minneapolis,347 km,3 hours 34 mins
Minneapolis,Duluth,248 km,2 hours 16 mins
Minneapolis,Duluth,248 km,2 hours 16 mins
Duluth,Cincinnati,"1,231 km",11 hours 23 mins
Duluth,Cincinnati,"1,231 km",11 hours 23 mins
Philadelphia,Buffalo,603 km,6 hours 8 mins
Philadelphia,Buffalo,603 km,6 hours 8 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Niagara Falls,Watertown,363 km,3 hours 28 mins
Niagara Falls,Watertown,363 km,3 hours 28 mins
Watertown,Philadelphia,521 km,5 hours 2 mins
Watertown,Philadelphia,521 km,5 hours 2 mins
Huntsville,Pellston,"1,397 km",12 hours 44 mins
Huntsville,Pellston,"1,397 km",12 hours 44 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Alpena,Huntsville,"1,396 km",13 hours 4 mins
Alpena,Huntsville,"1,396 km",13 hours 4 mins
Buffalo,Dallas,"2,205 km",20 hours 5 mins
Buffalo,Dallas,"2,205 km",20 hours 5 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Amarillo,Houston,965 km,8 hours 49 mins
Amarillo,Houston,965 km,8 hours 49 mins
Houston,Buffalo,"2,388 km",22 hours 6 mins
Houston,Buffalo,"2,388 km",22 hours 6 mins
Fort Myers,Wilmington,"1,210 km",11 hours 5 mins
Fort Myers,Wilmington,"1,210 km",11 hours 5 mins
Wilmington,Fayetteville,149 km,1 hour 43 mins
Wilmington,Fayetteville,149 km,1 hour 43 mins
Fayetteville,Charlotte,223 km,2 hours 40 mins
Fayetteville,Charlotte,223 km,2 hours 40 mins
Charlotte,Fort Myers,"1,123 km",10 hours 19 mins
Charlotte,Fort Myers,"1,123 km",10 hours 19 mins
New Orleans,Boston,"2,454 km",22 hours 36 mins
New Orleans,Boston,"2,454 km",22 hours 36 mins
Boston,Nantucket,161 km,3 hours 37 mins
Boston,Nantucket,161 km,3 hours 37 mins
Nantucket,Hyannis,47.0 km,2 hours 19 mins
Nantucket,Hyannis,47.0 km,2 hours 19 mins
Hyannis,New Orleans,"2,522 km",23 hours 20 mins
Hyannis,New Orleans,"2,522 km",23 hours 20 mins
Austin,Buffalo,"2,516 km",22 hours 46 mins
Austin,Buffalo,"2,516 km",22 hours 46 mins
Buffalo,New York,600 km,6 hours 14 mins
Buffalo,New York,600 km,6 hours 14 mins
New York,Niagara Falls,657 km,6 hours 31 mins
New York,Niagara Falls,657 km,6 hours 31 mins
Niagara Falls,Austin,"2,550 km",23 hours 14 mins
Niagara Falls,Austin,"2,550 km",23 hours 14 mins
Milwaukee,Augusta,"1,541 km",14 hours 14 mins
Milwaukee,Augusta,"1,541 km",14 hours 14 mins
Augusta,Decatur,229 km,2 hours 19 mins
Augusta,Decatur,229 km,2 hours 19 mins
Decatur,Atlanta,13.0 km,19 mins
Decatur,Atlanta,13.0 km,19 mins
Atlanta,Milwaukee,"1,309 km",12 hours 6 mins
Atlanta,Milwaukee,"1,309 km",12 hours 6 mins
Dayton,Charlotte,734 km,7 hours 5 mins
Dayton,Charlotte,734 km,7 hours 5 mins
Charlotte,Fayetteville,223 km,2 hours 40 mins
Charlotte,Fayetteville,223 km,2 hours 40 mins
Fayetteville,Wilmington,149 km,1 hour 44 mins
Fayetteville,Wilmington,149 km,1 hour 44 mins
Wilmington,Dayton,"1,024 km",9 hours 39 mins
Wilmington,Dayton,"1,024 km",9 hours 39 mins
Memphis,Chattanooga,542 km,4 hours 58 mins
Memphis,Chattanooga,542 km,4 hours 58 mins
Chattanooga,Knoxville,181 km,1 hour 42 mins
Chattanooga,Knoxville,181 km,1 hour 42 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
Los Angeles,San Francisco,614 km,5 hours 56 mins
Los Angeles,San Francisco,614 km,5 hours 56 mins
Myrtle Beach,Dallas,"1,847 km",16 hours 50 mins
Myrtle Beach,Dallas,"1,847 km",16 hours 50 mins
Dallas,Laredo,691 km,6 hours 21 mins
Dallas,Laredo,691 km,6 hours 21 mins
Laredo,Austin,379 km,3 hours 37 mins
Laredo,Austin,379 km,3 hours 37 mins
Austin,Myrtle Beach,"2,078 km",19 hours 14 mins
Austin,Myrtle Beach,"2,078 km",19 hours 14 mins
Boston,State College,707 km,6 hours 53 mins
Boston,State College,707 km,6 hours 53 mins
State College,Johnstown,137 km,1 hour 29 mins
State College,Johnstown,137 km,1 hour 29 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Harrisburg,Boston,629 km,6 hours 11 mins
Harrisburg,Boston,629 km,6 hours 11 mins
Peoria,Houston,"1,520 km",14 hours 25 mins
Peoria,Houston,"1,520 km",14 hours 25 mins
Houston,Austin,266 km,2 hours 31 mins
Houston,Austin,266 km,2 hours 31 mins
Austin,Dallas,314 km,2 hours 53 mins
Austin,Dallas,314 km,2 hours 53 mins
Dallas,Peoria,"1,285 km",12 hours 8 mins
Dallas,Peoria,"1,285 km",12 hours 8 mins
Escanaba,Bemidji,688 km,7 hours 40 mins
Escanaba,Bemidji,688 km,7 hours 40 mins
Bemidji,Minneapolis,347 km,3 hours 34 mins
Bemidji,Minneapolis,347 km,3 hours 34 mins
Minneapolis,Duluth,248 km,2 hours 16 mins
Minneapolis,Duluth,248 km,2 hours 16 mins
Duluth,Escanaba,451 km,5 hours 8 mins
Duluth,Escanaba,451 km,5 hours 8 mins
San Francisco,Oakland,19.8 km,18 mins
San Francisco,Oakland,19.8 km,18 mins
Oakland,Los Angeles,597 km,5 hours 43 mins
Oakland,Los Angeles,597 km,5 hours 43 mins
Fort Lauderdale,Buffalo,"2,200 km",19 hours 55 mins
Fort Lauderdale,Buffalo,"2,200 km",19 hours 55 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Niagara Falls,Watertown,363 km,3 hours 28 mins
Niagara Falls,Watertown,363 km,3 hours 28 mins
Watertown,Fort Lauderdale,"2,365 km",21 hours 32 mins
Watertown,Fort Lauderdale,"2,365 km",21 hours 32 mins
Pittsburgh,Lubbock,"2,325 km",21 hours 16 mins
Pittsburgh,Lubbock,"2,325 km",21 hours 16 mins
Lubbock,Wichita Falls,336 km,3 hours 8 mins
Lubbock,Wichita Falls,336 km,3 hours 8 mins
Wichita Falls,San Antonio,613 km,5 hours 38 mins
Wichita Falls,San Antonio,613 km,5 hours 38 mins
San Antonio,Pittsburgh,"2,404 km",21 hours 56 mins
San Antonio,Pittsburgh,"2,404 km",21 hours 56 mins
State College,Detroit,636 km,6 hours 2 mins
State College,Detroit,636 km,6 hours 2 mins
Detroit,Lansing,146 km,1 hour 24 mins
Detroit,Lansing,146 km,1 hour 24 mins
Lansing,Kalamazoo,122 km,1 hour 17 mins
Lansing,Kalamazoo,122 km,1 hour 17 mins
Kalamazoo,State College,774 km,7 hours 26 mins
Kalamazoo,State College,774 km,7 hours 26 mins
Raleigh,New York,812 km,7 hours 47 mins
Raleigh,New York,812 km,7 hours 47 mins
New York,Buffalo,601 km,6 hours 16 mins
New York,Buffalo,601 km,6 hours 16 mins
Buffalo,Watertown,347 km,3 hours 15 mins
Buffalo,Watertown,347 km,3 hours 15 mins
Watertown,Raleigh,"1,150 km",10 hours 59 mins
Watertown,Raleigh,"1,150 km",10 hours 59 mins
Fort Myers,Buffalo,"2,183 km",20 hours 9 mins
Fort Myers,Buffalo,"2,183 km",20 hours 9 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Niagara Falls,New York,657 km,6 hours 29 mins
Niagara Falls,New York,657 km,6 hours 29 mins
New York,Fort Myers,"2,014 km",18 hours 35 mins
New York,Fort Myers,"2,014 km",18 hours 35 mins
Santa Barbara,Dallas,"2,466 km",22 hours 16 mins
Santa Barbara,Dallas,"2,466 km",22 hours 16 mins
Dallas,Houston,385 km,3 hours 29 mins
Dallas,Houston,385 km,3 hours 29 mins
Houston,Amarillo,965 km,8 hours 50 mins
Houston,Amarillo,965 km,8 hours 50 mins
Amarillo,Santa Barbara,"1,869 km",16 hours 57 mins
Amarillo,Santa Barbara,"1,869 km",16 hours 57 mins
Grand Rapids,Longview,"1,634 km",15 hours 8 mins
Grand Rapids,Longview,"1,634 km",15 hours 8 mins
Longview,Killeen,379 km,3 hours 46 mins
Longview,Killeen,379 km,3 hours 46 mins
Killeen,Dallas,249 km,2 hours 18 mins
Killeen,Dallas,249 km,2 hours 18 mins
Dallas,Grand Rapids,"1,785 km",16 hours 9 mins
Dallas,Grand Rapids,"1,785 km",16 hours 9 mins
Cincinnati,Philadelphia,921 km,8 hours 44 mins
Cincinnati,Philadelphia,921 km,8 hours 44 mins
Philadelphia,State College,309 km,3 hours 12 mins
Philadelphia,State College,309 km,3 hours 12 mins
State College,Pittsburgh,225 km,2 hours 29 mins
State College,Pittsburgh,225 km,2 hours 29 mins
Pittsburgh,Cincinnati,465 km,4 hours 26 mins
Pittsburgh,Cincinnati,465 km,4 hours 26 mins
San Jose,Wenatchee,"1,374 km",13 hours 56 mins
San Jose,Wenatchee,"1,374 km",13 hours 56 mins
Wenatchee,Yakima,172 km,1 hour 55 mins
Wenatchee,Yakima,172 km,1 hour 55 mins
Yakima,Seattle,229 km,2 hours 14 mins
Yakima,Seattle,229 km,2 hours 14 mins
Seattle,San Jose,"1,353 km",12 hours 57 mins
Seattle,San Jose,"1,353 km",12 hours 57 mins
Nashville,Pittsburgh,902 km,8 hours 25 mins
Nashville,Pittsburgh,902 km,8 hours 25 mins
Pittsburgh,Harrisburg,328 km,3 hours 17 mins
Pittsburgh,Harrisburg,328 km,3 hours 17 mins
Harrisburg,Philadelphia,171 km,1 hour 48 mins
Harrisburg,Philadelphia,171 km,1 hour 48 mins
Philadelphia,Nashville,"1,294 km",11 hours 59 mins
Philadelphia,Nashville,"1,294 km",11 hours 59 mins
Cincinnati,Charleston,"1,000 km",9 hours 20 mins
Cincinnati,Charleston,"1,000 km",9 hours 20 mins
Charleston,Myrtle Beach,158 km,2 hours 6 mins
Charleston,Myrtle Beach,158 km,2 hours 6 mins
Myrtle Beach,Greer,411 km,4 hours 12 mins
Myrtle Beach,Greer,411 km,4 hours 12 mins
Greer,Cincinnati,669 km,6 hours 30 mins
Greer,Cincinnati,669 km,6 hours 30 mins
Cincinnati,Minneapolis,"1,135 km",10 hours 26 mins
Cincinnati,Minneapolis,"1,135 km",10 hours 26 mins
Minneapolis,St. Cloud,105 km,1 hour 6 mins
Minneapolis,St. Cloud,105 km,1 hour 6 mins
St. Cloud,Hibbing,272 km,2 hours 58 mins
St. Cloud,Hibbing,272 km,2 hours 58 mins
Hibbing,Cincinnati,"1,351 km",12 hours 40 mins
Hibbing,Cincinnati,"1,351 km",12 hours 40 mins
Charleston,Pittsburgh,"1,053 km",10 hours 1 min
Charleston,Pittsburgh,"1,053 km",10 hours 1 min
Pittsburgh,Latrobe,64.2 km,53 mins
Pittsburgh,Latrobe,64.2 km,53 mins
Latrobe,Philadelphia,413 km,4 hours 25 mins
Latrobe,Philadelphia,413 km,4 hours 25 mins
Philadelphia,Charleston,"1,088 km",10 hours 8 mins
Philadelphia,Charleston,"1,088 km",10 hours 8 mins
Norfolk,Moline,"1,643 km",15 hours 28 mins
Norfolk,Moline,"1,643 km",15 hours 28 mins
Moline,Belleville,417 km,3 hours 59 mins
Moline,Belleville,417 km,3 hours 59 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Chicago,Norfolk,"1,427 km",13 hours 33 mins
Chicago,Norfolk,"1,427 km",13 hours 33 mins
Miami,Detroit,"2,230 km",19 hours 56 mins
Miami,Detroit,"2,230 km",19 hours 56 mins
Detroit,Muskegon,317 km,2 hours 55 mins
Detroit,Muskegon,317 km,2 hours 55 mins
Muskegon,Grand Rapids,67.5 km,42 mins
Muskegon,Grand Rapids,67.5 km,42 mins
Grand Rapids,Miami,"2,338 km",21 hours 14 mins
Grand Rapids,Miami,"2,338 km",21 hours 14 mins
St. Louis,Pellston,"1,041 km",9 hours 47 mins
St. Louis,Pellston,"1,041 km",9 hours 47 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Alpena,St. Louis,"1,098 km",10 hours 17 mins
Alpena,St. Louis,"1,098 km",10 hours 17 mins
Indianapolis,Pellston,765 km,6 hours 51 mins
Indianapolis,Pellston,765 km,6 hours 51 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Pellston,Traverse City,137 km,1 hour 49 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Traverse City,Alpena,204 km,2 hours 29 mins
Alpena,Indianapolis,779 km,7 hours 18 mins
Alpena,Indianapolis,779 km,7 hours 18 mins
Cincinnati,Asheville,587 km,5 hours 32 mins
Cincinnati,Asheville,587 km,5 hours 32 mins
Asheville,Charlotte,209 km,2 hours 7 mins
Asheville,Charlotte,209 km,2 hours 7 mins
Charlotte,Fayetteville,223 km,2 hours 40 mins
Charlotte,Fayetteville,223 km,2 hours 40 mins
Fayetteville,Cincinnati,852 km,8 hours 37 mins
Fayetteville,Cincinnati,852 km,8 hours 37 mins
Tallahassee,Dallas,"1,346 km",12 hours 22 mins
Tallahassee,Dallas,"1,346 km",12 hours 22 mins
Dallas,San Antonio,441 km,4 hours 4 mins
Dallas,San Antonio,441 km,4 hours 4 mins
San Antonio,Houston,317 km,2 hours 56 mins
San Antonio,Houston,317 km,2 hours 56 mins
Houston,Tallahassee,"1,141 km",10 hours 16 mins
Houston,Tallahassee,"1,141 km",10 hours 16 mins
Madison,Moline,269 km,2 hours 41 mins
Madison,Moline,269 km,2 hours 41 mins
Moline,Belleville,417 km,3 hours 59 mins
Moline,Belleville,417 km,3 hours 59 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Chicago,Madison,237 km,2 hours 23 mins
Chicago,Madison,237 km,2 hours 23 mins
Plattsburgh,Fort Lauderdale,"2,515 km",22 hours 40 mins
Plattsburgh,Fort Lauderdale,"2,515 km",22 hours 40 mins
Fort Lauderdale,Daytona Beach,389 km,3 hours 31 mins
Fort Lauderdale,Daytona Beach,389 km,3 hours 31 mins
Daytona Beach,Jacksonville,143 km,1 hour 28 mins
Daytona Beach,Jacksonville,143 km,1 hour 28 mins
Jacksonville,Plattsburgh,"1,980 km",18 hours 0 mins
Jacksonville,Plattsburgh,"1,980 km",18 hours 0 mins
Lake Charles,Houston,231 km,2 hours 12 mins
Lake Charles,Houston,231 km,2 hours 12 mins
Houston,Dallas,385 km,3 hours 27 mins
Houston,Dallas,385 km,3 hours 27 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Amarillo,Lake Charles,"1,131 km",10 hours 38 mins
Amarillo,Lake Charles,"1,131 km",10 hours 38 mins
Dallas,Gustavus,"1,477 km",13 hours 53 mins
Dallas,Gustavus,"1,477 km",13 hours 53 mins
Gustavus,St. Cloud,157 km,1 hour 56 mins
Gustavus,St. Cloud,157 km,1 hour 56 mins
St. Cloud,Minneapolis,106 km,1 hour 5 mins
St. Cloud,Minneapolis,106 km,1 hour 5 mins
Minneapolis,Dallas,"1,512 km",14 hours 6 mins
Minneapolis,Dallas,"1,512 km",14 hours 6 mins
San Jose,Seattle,"1,351 km",12 hours 53 mins
San Jose,Seattle,"1,351 km",12 hours 53 mins
Seattle,Wenatchee,238 km,2 hours 33 mins
Seattle,Wenatchee,238 km,2 hours 33 mins
Wenatchee,Spokane,273 km,2 hours 41 mins
Wenatchee,Spokane,273 km,2 hours 41 mins
Spokane,San Jose,"1,462 km",14 hours 33 mins
Spokane,San Jose,"1,462 km",14 hours 33 mins
