NAME,price,room type,house_rules,minimum nights,maximum occupancy,review rate number,city
Gorgeous Park Slope Studio,641.0,Entire home/apt,No smoking & No parties,14.0,5,4.0,San Francisco
Room in Down town Brooklyn Parkslop,79.0,Private room,No visitors,1.0,2,1.0,San Francisco
spacious pretty east harlem apt.,470.0,Entire home/apt,No parties & No pets,1.0,3,3.0,San Francisco
"Comfortable,3 bedroom, 2bath home away from home",926.0,Entire home/apt,No children under 10,2.0,5,3.0,San Francisco
Perfect Luxury Studio in DUMBO,247.0,Entire home/apt,No smoking & No parties,2.0,3,1.0,San Francisco
Spacious 1 bedroom in Woodlawn NYC,163.0,Entire home/apt,No children under 10,2.0,2,2.0,San Francisco
Great 1 Bedroom on Upper East,484.0,Entire home/apt,No parties,2.0,2,1.0,San Francisco
Perfect Location! Your Oasis in Heart of Chelsea,432.0,Private room,No smoking & No parties & No pets,3.0,2,2.0,San Francisco
Bright & Quiet Minutes from Washington Square Park,936.0,Entire home/apt,No children under 10,7.0,8,5.0,San Francisco
"Cozy room, easy trip to Manhattan & North Brooklyn",651.0,Private room,No smoking & No children under 10 & No pets,1.0,1,3.0,San Francisco
Versatile private room in Harlem/Hamilton Heights!,398.0,Private room,No pets & No visitors & No parties,4.0,1,5.0,New York
Beautiful and big 1BR sublet close by Central Park,983.0,Private room,No parties & No children under 10,5.0,2,5.0,New York
A Contemporary Homelike Stay in the Best of BK,228.0,Entire home/apt,No pets & No visitors & No children under 10,2.0,2,2.0,New York
Charming Bright Room in Bed Stuy Brownstone,1064.0,Private room,No visitors & No smoking & No pets,30.0,2,3.0,New York
Spacious Bedroom in Prime Brooklyn Location,782.0,Private room,No parties & No pets,3.0,1,4.0,New York
Cool Downtown Apartment in Great Location,997.0,Entire home/apt,No pets,4.0,7,4.0,New York
Modern Brooklyn oasis (PRIVATE ROOM),403.0,Private room,No children under 10,1.0,1,5.0,New York
Magical rowhouse and garden in Williamsburg,189.0,Entire home/apt,No parties,4.0,3,1.0,New York
Large Bed-Stuy Apartment,132.0,Entire home/apt,No visitors,6.0,2,4.0,New York
IN MINT CONDITION-1BR&TERRACE-E 44TH/UNITED NATION,297.0,Entire home/apt,No pets,30.0,2,4.0,New York
Spacious Private Access Near Trains M - L and J,800.0,Private room,No pets,2.0,1,4.0,New York
Sunny + Spacious Master Bedroom with Outdoor Deck,109.0,Private room,No pets,3.0,1,5.0,New York
✈ NYC/Travelers. New Private Access Room Bed Full,1158.0,Private room,No pets,2.0,1,5.0,New York
Cozy Studio in Heart of Ft Greene,200.0,Entire home/apt,No pets & No children under 10,4.0,3,5.0,Buffalo
Yankee baseball stay,911.0,Private room,No visitors,1.0,1,5.0,Buffalo
Williamsburg Gem: Sleep up to 5,486.0,Entire home/apt,No smoking & No children under 10,2.0,4,1.0,Buffalo
Ideal 3 Bedroom Apartment by Times Square,297.0,Entire home/apt,No children under 10,2.0,2,2.0,Buffalo
Artist Brooklyn Heights Home,1069.0,Entire home/apt,No pets,7.0,8,3.0,Buffalo
Garden room in a private house,939.0,Private room,No children under 10,45.0,1,4.0,Buffalo
"Entire, Immaculate 1-Bedroom CHELSEA APARTMENT",309.0,Entire home/apt,No smoking & No pets & No parties,2.0,2,4.0,Buffalo
A SUPERB One Bedroom Apartment,417.0,Entire home/apt,No parties,2.0,2,2.0,Buffalo
Hospitality on Propsect Pk-12 yrs Hosting Legally!,556.0,Private room,No smoking & No visitors & No parties,1.0,1,4.0,Buffalo
@ Amazing Midtown Furnished  Apartment @,715.0,Entire home/apt,No parties,30.0,7,4.0,Buffalo
Beautiful Light Filled Apartment in New York City!,299.0,Entire home/apt,No visitors & No parties & No children under 10,1.0,2,1.0,Buffalo
*OH SO ZEN*~ Chill Bushwick Yoga Spot!!,948.0,Entire home/apt,No smoking,2.0,9,2.0,Buffalo
Cozy Studio in Heart of Ft Greene,200.0,Entire home/apt,No pets & No children under 10,4.0,3,5.0,Buffalo
Yankee baseball stay,911.0,Private room,No visitors,1.0,1,5.0,Buffalo
Williamsburg Gem: Sleep up to 5,486.0,Entire home/apt,No smoking & No children under 10,2.0,4,1.0,Buffalo
Ideal 3 Bedroom Apartment by Times Square,297.0,Entire home/apt,No children under 10,2.0,2,2.0,Buffalo
Artist Brooklyn Heights Home,1069.0,Entire home/apt,No pets,7.0,8,3.0,Buffalo
Garden room in a private house,939.0,Private room,No children under 10,45.0,1,4.0,Buffalo
"Entire, Immaculate 1-Bedroom CHELSEA APARTMENT",309.0,Entire home/apt,No smoking & No pets & No parties,2.0,2,4.0,Buffalo
A SUPERB One Bedroom Apartment,417.0,Entire home/apt,No parties,2.0,2,2.0,Buffalo
Hospitality on Propsect Pk-12 yrs Hosting Legally!,556.0,Private room,No smoking & No visitors & No parties,1.0,1,4.0,Buffalo
@ Amazing Midtown Furnished  Apartment @,715.0,Entire home/apt,No parties,30.0,7,4.0,Buffalo
Beautiful Light Filled Apartment in New York City!,299.0,Entire home/apt,No visitors & No parties & No children under 10,1.0,2,1.0,Buffalo
*OH SO ZEN*~ Chill Bushwick Yoga Spot!!,948.0,Entire home/apt,No smoking,2.0,9,2.0,Buffalo
Versatile private room in Harlem/Hamilton Heights!,398.0,Private room,No pets & No visitors & No parties,4.0,1,5.0,New York
Beautiful and big 1BR sublet close by Central Park,983.0,Private room,No parties & No children under 10,5.0,2,5.0,New York
A Contemporary Homelike Stay in the Best of BK,228.0,Entire home/apt,No pets & No visitors & No children under 10,2.0,2,2.0,New York
Charming Bright Room in Bed Stuy Brownstone,1064.0,Private room,No visitors & No smoking & No pets,30.0,2,3.0,New York
Spacious Bedroom in Prime Brooklyn Location,782.0,Private room,No parties & No pets,3.0,1,4.0,New York
Cool Downtown Apartment in Great Location,997.0,Entire home/apt,No pets,4.0,7,4.0,New York
Modern Brooklyn oasis (PRIVATE ROOM),403.0,Private room,No children under 10,1.0,1,5.0,New York
Magical rowhouse and garden in Williamsburg,189.0,Entire home/apt,No parties,4.0,3,1.0,New York
Large Bed-Stuy Apartment,132.0,Entire home/apt,No visitors,6.0,2,4.0,New York
IN MINT CONDITION-1BR&TERRACE-E 44TH/UNITED NATION,297.0,Entire home/apt,No pets,30.0,2,4.0,New York
Spacious Private Access Near Trains M - L and J,800.0,Private room,No pets,2.0,1,4.0,New York
Sunny + Spacious Master Bedroom with Outdoor Deck,109.0,Private room,No pets,3.0,1,5.0,New York
✈ NYC/Travelers. New Private Access Room Bed Full,1158.0,Private room,No pets,2.0,1,5.0,New York
"Cozy, bright Bohemian pad in NYC's Epic Village",478.0,Entire home/apt,No parties,5.0,4,5.0,Longview
Luxury STUDIO * PVT Entrance * WOW,406.0,Entire home/apt,No visitors,1.0,3,4.0,Longview
COZY HARLEM ROOM BY THE WATER - CREATIVE SPACE,205.0,Private room,No smoking & No visitors,2.0,1,3.0,Longview
"Your home away from home, private cozy room",188.0,Private room,No children under 10 & No parties,1.0,2,4.0,Longview
"Unique 1 bedroom apt. in Gowanus, Brooklyn",255.0,Entire home/apt,No parties,4.0,2,3.0,Longview
Newly renovated 2 bedroom with FREE WIFI,581.0,Entire home/apt,No children under 10,1.0,5,5.0,Longview
GREAT sunny 1 bedroom,1122.0,Entire home/apt,No parties & No smoking,5.0,9,3.0,Longview
Charming and Artistic West Village Studio,1133.0,Entire home/apt,No visitors,2.0,2,4.0,Longview
A cozy garden apartment,902.0,Entire home/apt,No parties & No pets,2.0,3,3.0,Longview
2 bedroom Kid Friendly Cobble Hill,129.0,Entire home/apt,No visitors & No smoking,3.0,3,1.0,Del Rio
Spacious Brooklyn One Bedroom/Loft***Morgan L Stop,1164.0,Entire home/apt,No visitors,4.0,4,3.0,Del Rio
"2017 BUILDING, NEW LOFT, 5 MIN SUB TO MANHATAN",833.0,Private room,No smoking,1.0,1,4.0,Del Rio
"Studio apartment between NYC, JFK and LGA airports",728.0,Entire home/apt,No smoking,3.0,7,3.0,Del Rio
Colorful and central Gramercy apartment,736.0,Entire home/apt,No children under 10 & No pets,2.0,4,4.0,Del Rio
The proud New Yorker Room,82.0,Private room,No children under 10,1.0,1,4.0,Del Rio
The Manhattan Club in the heart of midtown!!!!,723.0,Entire home/apt,No pets & No parties,4.0,7,1.0,Del Rio
"Spacious, Sunny 1 Bedroom Apartment",473.0,Entire home/apt,No visitors & No smoking,5.0,2,4.0,Del Rio
Greenpoint Room,568.0,Entire home/apt,No visitors & No parties,3.0,5,2.0,Del Rio
Beautiful one bedroom in Soho,751.0,Entire home/apt,No parties,2.0,6,4.0,Del Rio
Harlem cozy nights,457.0,Entire home/apt,No visitors,4.0,3,4.0,Denver
Studio Style Basement in Shared Apartment,498.0,Private room,No parties & No visitors,20.0,1,5.0,Denver
Bright room in Williamsburg loft,636.0,Private room,No pets & No smoking & No visitors,14.0,2,4.0,Denver
Room in Spacious Williamsburg Loft,934.0,Private room,No parties,21.0,2,4.0,Denver
GORGEOUS Newly-Renovated 2-BR Flat,731.0,Entire home/apt,No parties,30.0,6,5.0,Denver
Quaint & Charming 2BR + Futon,897.0,Private room,No children under 10,1.0,1,1.0,Denver
"Peaceful, beautiful home away ",414.0,Entire home/apt,No smoking & No visitors & No parties,2.0,4,1.0,Denver
Big Sunny Bushwick Apartment,714.0,Entire home/apt,No pets & No visitors,4.0,3,2.0,Denver
*NO GUEST SERVICE FEE* Luxury Studio Suite w/ Free Continental Breakfast,390.0,Entire home/apt,No smoking & No visitors & No parties,3.0,2,2.0,Denver
Large sunny park slope apartment,82.0,Entire home/apt,No smoking & No parties & No pets,1.0,3,5.0,Colorado Springs
HUGE CHEERFUL PRIVATE STUDIO SUITE WITH BACKYARD,114.0,Entire home/apt,No children under 10,2.0,2,3.0,Colorado Springs
Manhattan Midtown West 3B Apartment,1178.0,Entire home/apt,No children under 10,5.0,9,2.0,Colorado Springs
Charming and Bright 1 bdr apartment in Noho,112.0,Entire home/apt,No children under 10,2.0,3,3.0,Colorado Springs
1Bedroom 15min Train ride to the Heart of NEW YORK,274.0,Private room,No pets,2.0,1,2.0,Colorado Springs
Cozy room in South Williamsburg BK,783.0,Private room,No children under 10 & No pets & No smoking,2.0,2,5.0,Colorado Springs
Bright and Sunny Room in Brand New Apt,727.0,Private room,No parties & No children under 10,1.0,1,5.0,Colorado Springs
Perfectly formed in Park Slope,720.0,Entire home/apt,No children under 10,4.0,6,2.0,Colorado Springs
"Cozy Space-Sunny Studio- Flatbush, Brooklyn",450.0,Entire home/apt,No parties,3.0,2,3.0,Colorado Springs
Huge bedroom w/ private living room in big house!,223.0,Private room,No visitors & No children under 10,2.0,2,4.0,Colorado Springs
Room in sunny art-filled apartment,779.0,Private room,No smoking & No visitors,1.0,1,4.0,Colorado Springs
"Quiet, sunny, renovated",1013.0,Entire home/apt,No visitors,15.0,6,5.0,Colorado Springs
Clean 1br w/Parking Incl.  also 10min near JFK/LGA,483.0,Private room,No visitors,458.0,2,2.0,Colorado Springs
"Quiet, tranquil room in the middle of everything!",493.0,Private room,No visitors & No pets,1.0,1,5.0,Colorado Springs
A Gem In Downtown Flushing - Elegance and Class #1,1088.0,Private room,No pets,2.0,2,3.0,Colorado Springs
SUN FILLED 1BR in ARTSY FORT GREENE,62.0,Entire home/apt,No pets,21.0,2,3.0,Colorado Springs
"Sunny, ample, quiet w/balcony!",727.0,Entire home/apt,No visitors,5.0,6,3.0,Colorado Springs
Perfect Chanukah apartment for the whole crew!,451.0,Entire home/apt,No pets,11.0,3,3.0,Augusta
Planta Baja Studio,637.0,Entire home/apt,No smoking,1.0,4,5.0,Augusta
"Large, 2fl/2bdrm Williamsburg Apt",445.0,Entire home/apt,No visitors,3.0,2,1.0,Augusta
Bright and cozy bedroom in Williamsburg,499.0,Private room,No pets,1.0,2,2.0,Augusta
Private room in super location in lower Manhattan,621.0,Private room,No children under 10 & No pets,14.0,2,5.0,Augusta
"Elegant/Classy Artist Loft, 2 Priv bdms/CLEAN",944.0,Entire home/apt,No pets & No children under 10 & No smoking,21.0,7,1.0,Augusta
NoLIta / Soho 1 bedroom oasis,1136.0,Entire home/apt,No children under 10 & No parties,3.0,5,5.0,Augusta
Very close to Manhattan! Muy cerca de Manhattan,256.0,Private room,No children under 10 & No visitors,2.0,2,5.0,Augusta
"3 Beds, Uptown , one block train A ,15 min Wall St",588.0,Entire home/apt,No parties,30.0,4,4.0,Augusta
"Cute one bedroom apt. in Greenpoint, Brooklyn.",750.0,Private room,No smoking & No children under 10 & No visitors,3.0,1,1.0,Augusta
Big and Bright Apartment with Balcony,1029.0,Entire home/apt,No children under 10,7.0,7,4.0,Augusta
**Cozy Space - Private Access**,954.0,Private room,No pets,2.0,2,4.0,Augusta
Comfortable and Cozy!,1143.0,Private room,No smoking & No pets,1.0,1,2.0,Augusta
Fantastic Room in Bushwick,1069.0,Private room,No children under 10,2.0,2,3.0,Atlanta
FABULOUS SUNNY BEDROOM IN HARLEM,587.0,Private room,No parties,20.0,2,3.0,Atlanta
"Bright, Modern, Clean, Spacious, Brooklyn Home",1034.0,Entire home/apt,No children under 10,3.0,4,5.0,Atlanta
"Sunny, Friendly, Brooklyn Apartment",874.0,Private room,No pets,1.0,2,4.0,Atlanta
Stunning ! All new near U.N. & Central Park,675.0,Entire home/apt,No pets,30.0,3,4.0,Atlanta
1bd in a sunny 2 bd Ft. Greene Apt,1056.0,Private room,No visitors & No pets,1.0,1,4.0,Atlanta
Charming Carroll Gardens 2 BR,576.0,Entire home/apt,No parties,1.0,4,2.0,Atlanta
Unique 2BR Apartment,394.0,Entire home/apt,No parties & No pets & No children under 10,2.0,3,3.0,Atlanta
Bright central designer's apt - steps to train!,1019.0,Entire home/apt,No visitors & No smoking,5.0,10,5.0,Atlanta
THE WHITE HOUSE BEDROOM 1,654.0,Private room,No parties & No pets,3.0,2,5.0,Atlanta
Spacious private room close St. Barnabas Hospital,144.0,Private room,No smoking,2.0,1,4.0,Atlanta
Sunny duplex near Central Park,541.0,Entire home/apt,No pets,1.0,5,1.0,Moline
"Quiet, Private and Sunny in Greenwich Village",492.0,Entire home/apt,No children under 10,2.0,4,2.0,Moline
Charming & Cozy midtown loft any WEEK ENDS  !!!,950.0,Entire home/apt,No parties & No visitors,81.0,2,1.0,Moline
Sunny Art + Plant Brownstone Apartment,473.0,Entire home/apt,No visitors,2.0,4,1.0,Moline
Private Room Available in 2BedApt,952.0,Private room,No smoking & No parties & No pets,1.0,2,1.0,Moline
Private Room in Cozy shared apt in Williamsburg,527.0,Private room,No smoking,6.0,2,4.0,Moline
Rock star house!,530.0,Private room,No parties,2.0,2,4.0,Moline
Artist's huge family home in BK with Roof Deck!,1000.0,Entire home/apt,No visitors,2.0,10,3.0,Moline
"Gramercy Heaven, right off Park Ave",1043.0,Entire home/apt,No smoking,2.0,8,2.0,Moline
Beautiful Sunlit Retreat in Manhattan,268.0,Entire home/apt,No visitors & No parties & No smoking,2.0,3,2.0,Moline
ROOFTOP SWIMMING-POOL 1/BR APT.,464.0,Entire home/apt,No pets & No smoking & No visitors,5.0,3,5.0,Moline
Harlem Gem,813.0,Entire home/apt,No children under 10 & No pets,3.0,3,3.0,Moline
1 Bedroom/1 Bath Apt in Hudson Yards/Midtown West,610.0,Entire home/apt,No parties & No pets,1.0,2,2.0,Belleville
studio for your own,773.0,Entire home/apt,No visitors,3.0,4,4.0,Belleville
Private room in NYC!! Walking to Central Park!!,1017.0,Private room,No parties & No smoking,3.0,1,2.0,Belleville
Historic Manhattan Home to make your stay special!,523.0,Entire home/apt,No visitors,2.0,3,4.0,Belleville
"Spacious, sunny studio apt in East Village, NYC",560.0,Entire home/apt,No pets & No children under 10 & No parties,2.0,2,1.0,Belleville
Cozy,184.0,Private room,No visitors & No smoking & No children under 10,1.0,2,5.0,Belleville
"LOVE MANHATTAN 3
NEAR TO YANKE STADIUM",192.0,Private room,No smoking,1.0,2,4.0,Belleville
1 bedroom next to Prospect Park & SubwayStation,836.0,Private room,No children under 10 & No visitors & No pets,1.0,1,5.0,Belleville
Spacious Apartment perfect to relax and enjoy .,743.0,Entire home/apt,No visitors & No smoking,5.0,6,3.0,Belleville
"Cozy  clean room ;LGA 5 mints,JFK 10 mint Astoria",430.0,Private room,No pets & No parties,1.0,2,4.0,Belleville
Peace and Comfort,238.0,Private room,No parties,1.0,2,2.0,Belleville
Comfortable bedroom for one person,248.0,Private room,No pets,3.0,2,1.0,Belleville
Private big bedroom w/ access to kitchen- Flushing,591.0,Private room,No pets,1.0,1,5.0,Belleville
Sonder | The Biltmore | Serene 1BR + City View,838.0,Entire home/apt,No parties & No visitors,29.0,8,4.0,Belleville
"Entire Unit 2BR+bathroom, 20min to Manhattan",733.0,Entire home/apt,No parties & No children under 10,1.0,7,3.0,Belleville
"Sunny, Spacious, Private Room Close to Train!",254.0,Private room,No pets & No visitors,7.0,1,3.0,Belleville
One Bedroom in Central NYC location,800.0,Private room,No parties & No visitors,2.0,1,5.0,Belleville
Comfy Queen Size Bed Near Prospect Park!,571.0,Private room,No pets,2.0,2,1.0,Belleville
Near Yankee Stadium,73.0,Entire home/apt,No pets,1.0,3,1.0,Belleville
Cozy room in a Victorian house in Central Brooklyn,1110.0,Private room,No parties & No smoking & No pets,1.0,2,3.0,Belleville
Midtown East 2 Bed/2 Bath Elevator Building Apt,540.0,Entire home/apt,No pets,7.0,4,3.0,Los Angeles
Sunny apartment with easy connections to anywhere.,968.0,Private room,No children under 10,3.0,1,4.0,Los Angeles
"Upper West Side, Manhattan, NY",1083.0,Entire home/apt,No parties & No visitors,6.0,10,1.0,Los Angeles
"Room in Queens, NY, near LGA.",982.0,Private room,No children under 10,1.0,2,2.0,Los Angeles
Best Nest.,371.0,Private room,No pets,1.0,2,4.0,Los Angeles
Cozy Harlem Home,987.0,Private room,No smoking & No parties,1.0,2,2.0,Los Angeles
Enormous Private Room in Shared Apartment,198.0,Private room,No pets & No children under 10,5.0,1,3.0,Los Angeles
Cosy room in a sunny Brooklyn flat,678.0,Private room,No smoking,3.0,1,3.0,Los Angeles
Private Room with Private Bath Upper East Side,359.0,Private room,No children under 10,1.0,2,4.0,Los Angeles
Spacious Luxury Studio-96th and WEA,820.0,Entire home/apt,No parties & No pets,4.0,8,2.0,Los Angeles
Luxury building studio,1076.0,Entire home/apt,No parties & No children under 10,2.0,2,1.0,Los Angeles
Lovely studio,117.0,Entire home/apt,No visitors,1.0,3,4.0,Los Angeles
A4Long Island City Big Room Great Location,808.0,Private room,No visitors & No pets,1.0,2,2.0,San Jose
Spacious Deco Apt.- Columbus Circle,167.0,Private room,No parties,6.0,1,4.0,San Jose
The Heart of Williamsburg,938.0,Private room,No pets & No parties & No smoking,3.0,2,4.0,San Jose
Delnewyorkroom,217.0,Private room,No smoking,5.0,2,3.0,San Jose
Beautiful 1 bedroom in Upper west side,605.0,Entire home/apt,No children under 10,4.0,3,2.0,San Jose
Perfect location in Manhattan,1048.0,Private room,No children under 10 & No parties,1.0,1,2.0,San Jose
Private Sunny Bedroom in a Modern 2 Bedroom Co-op,554.0,Private room,No parties,1.0,1,5.0,San Jose
High SkyView  W&D GYM Doorman 5180,318.0,Entire home/apt,No smoking & No visitors & No children under 10,30.0,2,5.0,San Jose
Best Location! Spacious 3BR in Center of NYC!,147.0,Entire home/apt,No smoking,2.0,3,3.0,San Jose
Cozy Room in TWO BEDROOM Apartment.,701.0,Private room,No smoking & No pets & No visitors,5.0,2,5.0,San Jose
"A Prime location private room furnished 3br,2b ap",505.0,Private room,No visitors & No pets,5.0,1,5.0,San Jose
"3 BR CLASSIC ON RIVER. Doorman. UWS, dogs ok",995.0,Entire home/apt,No visitors & No children under 10,30.0,7,1.0,San Jose
Room available in spacious apartment UWS,271.0,Private room,No smoking,4.0,1,2.0,San Jose
Yankee baseball stay,911.0,Private room,No pets,1.0,1,5.0,San Jose
Couch in E. Williamsburg Luxury Apt,306.0,Shared room,No parties,1.0,1,3.0,San Jose
Cool Room in NYC,126.0,Private room,No parties,17.0,1,1.0,San Jose
Simple Spacious RM near Queens Center Mall & NYPD,311.0,Private room,No visitors & No parties,30.0,2,2.0,Norfolk
Hudson Yard - Lux King Room,1066.0,Private room,No smoking,1.0,1,2.0,Norfolk
Airports Sleep Inn,697.0,Private room,No visitors,3.0,2,4.0,Norfolk
The Center Suites,1190.0,Entire home/apt,No pets & No parties & No visitors,2.0,10,1.0,Norfolk
Private Bedroom in Midtown -Heart of NYC,1143.0,Private room,No smoking,8.0,1,2.0,Norfolk
Spacious 1BD Luxurious room in Queens NYC,1088.0,Private room,No parties & No visitors,2.0,2,1.0,Norfolk
Large studio all to yourself,393.0,Entire home/apt,No pets,7.0,2,3.0,Norfolk
Voted #1 Airbnb In NYC,934.0,Entire home/apt,No children under 10,2.0,3,3.0,Norfolk
"Gorgeous, Family-Friendly, NYC Garden Apt!",709.0,Entire home/apt,No children under 10,3.0,5,5.0,Norfolk
NEW- Spacious & Bright Brooklyn 1 Bed,900.0,Entire home/apt,No children under 10,2.0,4,5.0,Norfolk
Heights IV,895.0,Private room,No pets & No parties & No visitors,1.0,2,5.0,Norfolk
Gorgeous Brownstone Studio @ Central Park West,398.0,Entire home/apt,No children under 10 & No visitors & No smoking,2.0,2,3.0,Norfolk
PRIVATE 1 BED IN APT OFF  PROSPECT PARK |  Q & B,1158.0,Private room,No pets & No visitors,2.0,1,5.0,Norfolk
Brooklyn Retreat,581.0,Private room,No pets & No children under 10 & No smoking,3.0,1,3.0,Norfolk
HUGE 4 Bedroom PERFECT Wilburg Apt. on Bedford Ave,1134.0,Entire home/apt,No children under 10,4.0,9,3.0,Norfolk
Park Slope garden oasis,735.0,Entire home/apt,No children under 10,2.0,2,2.0,Norfolk
3 Bed/ 2 Bath Full Apt. BK Heights,396.0,Entire home/apt,No smoking,2.0,3,1.0,Norfolk
Cool Summer Vibes UWS Pent House w/ rooftop,498.0,Entire home/apt,No pets & No parties,3.0,2,4.0,Richmond
12 East 86th St full furnished,451.0,Entire home/apt,No parties,30.0,2,5.0,Richmond
Spacious Room with Character in BK,1032.0,Private room,No children under 10,1.0,1,3.0,Richmond
Gorgeous studio in midtown Manhattan,212.0,Entire home/apt,No parties & No children under 10,30.0,3,3.0,Richmond
Large cozy bedroom close to Times Square 43D4,403.0,Private room,No visitors & No children under 10,7.0,2,4.0,Richmond
2 bd 2 bathroom Apartment in Upper East Side,285.0,Entire home/apt,No smoking,4.0,3,5.0,Richmond
Large suite with private bathroom (15 min to city),764.0,Private room,No pets,3.0,2,3.0,Richmond
Inviting Brooklyn Studio,398.0,Entire home/apt,No parties & No smoking & No children under 10,3.0,3,5.0,Richmond
CB3 BROOKLYN,1009.0,Private room,No smoking & No parties & No children under 10,6.0,1,4.0,Richmond
East Village 1BR with private patio,566.0,Entire home/apt,No smoking,3.0,4,4.0,Richmond
Bright Spacious BK Room with Bath,204.0,Private room,No visitors & No pets,3.0,2,1.0,Richmond
Centrally  Located Beautiful Escape,828.0,Private room,No parties,1.0,2,5.0,Richmond
Luxury NYC 1 Bed w/Gorgeous Views + Pool,255.0,Entire home/apt,No pets & No children under 10,2.0,3,3.0,Richmond
Shared Apartment by Times Square Manhattan,1050.0,Shared room,No visitors & No pets & No smoking,1.0,1,4.0,Seattle
Large quiet private studio in East Harlem,181.0,Entire home/apt,No children under 10,7.0,2,3.0,Seattle
Nolita 1br near Little Italy/SoHo,380.0,Entire home/apt,No visitors & No pets,20.0,2,1.0,Seattle
private spacious LES bedroom,325.0,Private room,No parties & No pets,2.0,1,4.0,Seattle
"Peaceful, cozy studio in Chinatown",576.0,Entire home/apt,No pets & No children under 10 & No visitors,20.0,2,1.0,Seattle
Small Private Room in quiet Manhattan Apt,105.0,Private room,No visitors,4.0,1,5.0,Seattle
Cozy Room Amazingly Located in Williamsburg !,448.0,Private room,No smoking,3.0,2,4.0,Seattle
NYC HUB HOME: Train @ 900ft; midtown 30min!,1184.0,Entire home/apt,No parties & No pets,2.0,7,4.0,Seattle
New tidy  room attached by PRIVATE FULL BATH,73.0,Private room,No parties & No smoking,3.0,2,5.0,Seattle
Sun Drenched Artist Loft in Williamsburg!,607.0,Entire home/apt,No children under 10 & No visitors & No parties,4.0,2,5.0,Seattle
**Cozy Room In Hip Ultra Location LES/NOLITA**,537.0,Private room,No visitors,2.0,2,5.0,Seattle
Comfort Haven,910.0,Private room,No smoking & No visitors & No parties,1.0,2,3.0,Seattle
"Modern, Spacious Hideaway in Historic Brooklyn",386.0,Entire home/apt,No pets & No parties,6.0,2,3.0,Wenatchee
Entire 1BD Apt in Long Island City!,268.0,Entire home/apt,No children under 10,1.0,3,1.0,Wenatchee
Large private live/work space; garden & parking,505.0,Entire home/apt,No children under 10,7.0,2,5.0,Wenatchee
Sunny Stuyvesant Private Bedroom Madison 1R-4,639.0,Private room,No parties & No children under 10,30.0,2,3.0,Wenatchee
Private Room on the Upper West Side,90.0,Private room,No children under 10,2.0,1,4.0,Wenatchee
Cozy BK Apt -Roof & Balcony- 5 star host reviews!,374.0,Entire home/apt,No pets,2.0,2,5.0,Wenatchee
Attractive one bedroom suite in midtown Manhattan,351.0,Entire home/apt,No pets,30.0,2,1.0,Wenatchee
Cozy Room in a Luxury Apartment,1176.0,Private room,No pets,1.0,2,1.0,Wenatchee
Tranquil Room in Manhattan,505.0,Private room,No visitors,2.0,2,2.0,Wenatchee
"☆Charming bedroom, 5min to Empire State Building☆",175.0,Private room,No smoking,1.0,2,3.0,Wenatchee
"Cosy room in NYC, two blocks from Central Park!",108.0,Private room,No smoking & No pets,3.0,1,3.0,Wenatchee
"Nice 3Beds/2bedroom Apartment, 5min TIME SQUARE.",1127.0,Entire home/apt,No parties & No visitors,1.0,5,3.0,Wenatchee
Versatile private room in Harlem/Hamilton Heights!,398.0,Private room,No pets & No visitors & No parties,4.0,1,5.0,New York
Beautiful and big 1BR sublet close by Central Park,983.0,Private room,No parties & No children under 10,5.0,2,5.0,New York
A Contemporary Homelike Stay in the Best of BK,228.0,Entire home/apt,No pets & No visitors & No children under 10,2.0,2,2.0,New York
Charming Bright Room in Bed Stuy Brownstone,1064.0,Private room,No visitors & No smoking & No pets,30.0,2,3.0,New York
Spacious Bedroom in Prime Brooklyn Location,782.0,Private room,No parties & No pets,3.0,1,4.0,New York
Cool Downtown Apartment in Great Location,997.0,Entire home/apt,No pets,4.0,7,4.0,New York
Modern Brooklyn oasis (PRIVATE ROOM),403.0,Private room,No children under 10,1.0,1,5.0,New York
Magical rowhouse and garden in Williamsburg,189.0,Entire home/apt,No parties,4.0,3,1.0,New York
Large Bed-Stuy Apartment,132.0,Entire home/apt,No visitors,6.0,2,4.0,New York
IN MINT CONDITION-1BR&TERRACE-E 44TH/UNITED NATION,297.0,Entire home/apt,No pets,30.0,2,4.0,New York
Spacious Private Access Near Trains M - L and J,800.0,Private room,No pets,2.0,1,4.0,New York
Sunny + Spacious Master Bedroom with Outdoor Deck,109.0,Private room,No pets,3.0,1,5.0,New York
✈ NYC/Travelers. New Private Access Room Bed Full,1158.0,Private room,No pets,2.0,1,5.0,New York
The Gramercy East,1031.0,Entire home/apt,No parties & No pets,2.0,3,4.0,Syracuse
Nice Room,564.0,Private room,No smoking,2.0,2,3.0,Syracuse
*Lovely Apt in Heart of Park Slope*,1138.0,Entire home/apt,No pets & No children under 10,30.0,3,4.0,Syracuse
"Harlem ""Hostel"" for Single Travelers",1199.0,Shared room,No parties & No smoking,2.0,1,4.0,Syracuse
"Sixth Ave Chelsea, Studio Serviced Apartment",589.0,Entire home/apt,No pets,30.0,5,2.0,Syracuse
Chic Apartment for rent in East Village,430.0,Entire home/apt,No pets,2.0,2,2.0,Syracuse
Lrg 2 BR Duplex Top 2 Flrs Terrace West Village,733.0,Entire home/apt,No children under 10,3.0,3,3.0,Syracuse
